net,length_um
_1130_,8.02
_0533_,8
_0981_,8
_0613_,7.98
_0838_,7.98
_0965_,7.98
_1124_,7.98
_1133_,7.98
_1192_,7.98
_1324_,7.98
_1360_,7.96
_0840_,7.94
_1058_,7.94
_0239_,7.92
_0074_,7.9
_0298_,7.9
_0340_,7.9
_0359_,7.9
_0866_,7.9
_0988_,7.9
_1079_,7.9
_0243_,7.88
_0379_,7.88
_0471_,7.88
_0370_,7.86
_0250_,7.83
_0044_,7.78
_0486_,7.78
_1189_,7.78
_0317_,7.76
_0487_,7.7
_1365_,7.69
_0424_,7.68
_0495_,7.68
_1306_,7.68
_1274_,7.64
_0071_,7.62
_0877_,7.62
_0644_,7.6
_0577_,7.58
_0631_,7.58
_0775_,7.58
_1359_,7.58
product[31],7.57
_0302_,7.56
_0403_,7.56
_0599_,7.56
_0241_,7.54
_0398_,7.54
_0792_,7.52
mcand[2],7.47
_0023_,7.46
_0510_,7.46
_0009_,7.44
_0883_,7.42
_0434_,7.4
_0442_,7.4
mplier[8],7.35
_0014_,7.32
_0031_,7.32
_1039_,7.32
_1304_,7.32
_0449_,7.28
_0586_,7.24
_0686_,7.24
_1258_,7.24
_1308_,7.24
_1114_,7.22
_0149_,7.2
_0383_,7.2
_0490_,7.2
_0068_,7.18
_0286_,7.18
_0390_,7.18
_0404_,7.14
_0745_,7.12
product[13],7.11
_0081_,7.1
_0175_,7.1
_0216_,7.1
_0439_,7.1
_0744_,7.1
_0919_,7.1
_1249_,7.1
net61,7.1
_0372_,7.08
_0522_,7.08
_0767_,7.08
_0234_,7.06
_0894_,7.06
_1212_,7.04
_0073_,6.98
_0583_,6.98
_0612_,6.98
_0137_,6.96
_0321_,6.94
_1101_,6.86
_0735_,6.84
_0788_,6.84
_1023_,6.82
_0070_,6.78
_0519_,6.78
_1122_,6.78
mcand[1],6.77
_0669_,6.76
_0951_,6.76
_1339_,6.76
_0621_,6.74
_1196_,6.74
_0552_,6.72
_0676_,6.72
